SampleID	phylum_Actinobacteria	phylum_Bacteroidetes	phylum_Firmicutes	phylum_Proteobacteria	phylum_Verrucomicrobia	phylum_unclassified_Bacteria	class_Actinobacteria	class_Bacilli	class_Bacteroidia	class_Betaproteobacteria	class_Clostridia	class_Deltaproteobacteria	class_Erysipelotrichia	class_Gammaproteobacteria	class_Negativicutes	class_Verrucomicrobiae	class_unclassified_Bacteria	class_unclassified_Firmicutes	order_Bacteroidales	order_Burkholderiales	order_Clostridiales	order_Coriobacteriales	order_Desulfovibrionales	order_Enterobacteriales	order_Erysipelotrichales	order_Lactobacillales	order_Selenomonadales	order_Verrucomicrobiales	order_unclassified_Bacteria	order_unclassified_Firmicutes	family_Acidaminococcaceae	family_Bacteroidaceae	family_Clostridiaceae.1	family_Clostridiales_Incertae.Sedis.XIII	family_Coriobacteriaceae	family_Desulfovibrionaceae	family_Enterobacteriaceae	family_Erysipelotrichaceae	family_Lachnospiraceae	family_Peptostreptococcaceae	family_Porphyromonadaceae	family_Prevotellaceae	family_Rikenellaceae	family_Ruminococcaceae	family_Streptococcaceae	family_Sutterellaceae	family_Veillonellaceae	family_Verrucomicrobiaceae	family_unclassified_Bacteria	family_unclassified_Clostridiales	family_unclassified_Firmicutes	genus_Akkermansia	genus_Alistipes	genus_Anaerotruncus	genus_Anaerovorax	genus_Bacteroides	genus_Barnesiella	genus_Bilophila	genus_Blautia	genus_Butyricicoccus	genus_Butyricimonas	genus_Clostridium.IV	genus_Clostridium.XI	genus_Clostridium.XVIII	genus_Clostridium.XlVa	genus_Clostridium.XlVb	genus_Clostridium.sensu.stricto	genus_Collinsella	genus_Coprococcus	genus_Dorea	genus_Eggerthella	genus_Erysipelotrichaceae_incertae_sedis	genus_Faecalibacterium	genus_Flavonifractor	genus_Holdemania	genus_Lachnospiracea_incertae_sedis	genus_Odoribacter	genus_Oscillibacter	genus_Parabacteroides	genus_Parasutterella	genus_Phascolarctobacterium	genus_Prevotella	genus_Pseudoflavonifractor	genus_Roseburia	genus_Ruminococcus	genus_Streptococcus	genus_Veillonella	genus_unclassified_Bacteria	genus_unclassified_Clostridiales	genus_unclassified_Clostridiales_Incertae.Sedis.XIII	genus_unclassified_Coriobacteriaceae	genus_unclassified_Erysipelotrichaceae	genus_unclassified_Firmicutes	genus_unclassified_Lachnospiraceae	genus_unclassified_Porphyromonadaceae	genus_unclassified_Ruminococcaceae
ZNDMXI3-01	0.001512659	0.601480813	0.252295526	0.144578313	0	0.000132689	0.001512659	0.003847991	0.601480813	0.141606072	0.208003821	0.000291917	0.000159227	0.002680325	0.03874529	0	0.000132689	0.001539196	0.601480813	0.141606072	0.208003821	0.001512659	0.000291917	0.002653787	0.000159227	0.003847991	0.03874529	0	0.000132689	0.001539196	0.038586062	0.532561966	0.008784035	0	0.001512659	0.000291917	0.002653787	0.000159227	0.084363887	0.003662226	0.037763388	5.31E-05	0.016135025	0.11111406	0.00374184	0.141606072	0.000159227	0	0.000132689	7.96E-05	0.001539196	0	0.016135025	0	0	0.532561966	5.31E-05	0.000265379	0.007112149	0.000796136	0	0.0044849	0.003662226	0.000132689	0.000849212	0.000212303	0.008784035	0.001379969	0.002813014	0.001645348	0.000132689	0	0.100313147	0.001273818	0	0.034366541	0	0.00087575	0.037683775	2.65E-05	0.013481238	5.31E-05	0	0.018894963	0	0.00374184	0.000159227	0.000132689	7.96E-05	0	0	2.65E-05	0.001539196	0.018470357	2.65E-05	0.003370309
ZN9YTFN-01	0.023450824	0.255514497	0.52174531	0.01057419	0.149516771	0.039113132	0.023450824	0.005571347	0.255514497	0.006736782	0.4793917	2.84E-05	0.002728823	0.003752132	0.033456509	0.149516771	0.039113132	0.00059693	0.255514497	0.006736782	0.479334849	0.020125071	2.84E-05	0.003638431	0.002728823	0.005542922	0.033456509	0.149516771	0.039113132	0.00059693	0.033229107	0.160005685	0.024758385	0.005542922	0.020125071	2.84E-05	0.003638431	0.002728823	0.193604321	0.013530415	0.00764639	0.029135873	0.058726549	0.230955088	0.00531552	0.006736782	0.000227402	0.149516771	0.039113132	0.010915293	0.00059693	0.149516771	0.058726549	0.000227402	0.000795907	0.160005685	0	0	0.041472428	0.006736782	0	0.001165435	0.013530415	0.001449687	0.000682206	0.000142126	0.024758385	0.011881751	0.019386015	0.009494031	0.00173394	0.000795907	0.100938033	0.001847641	5.69E-05	0.07347925	0.00352473	0.032404775	0.004007959	0.006736782	0.033229107	0.029135873	0.000170551	0.008072769	0.00645253	0.00531552	0.000198977	0.039113132	0.010915293	0.004747015	0.005514497	0	0.00059693	0.040818647	8.53E-05	0.080841387
ZN3TBJM-01	0.001277528	0.680192237	0.305329115	0.006691812	0.000547512	0.005961796	0.001277528	6.08E-05	0.679644726	0.002007543	0.292553839	0	0.007604331	0	0.003285071	0.000547512	0.005961796	0.00182504	0.679644726	0.002007543	0.292493004	0.001277528	0	0	0.007604331	6.08E-05	0.003285071	0.000547512	0.005961796	0.00182504	0.003224237	0.654945857	0	0.000243339	0.001277528	0	0	0.007604331	0.195096727	0.00182504	0.016364521	0.000669181	0.006691812	0.077016669	6.08E-05	0.002007543	6.08E-05	0.000547512	0.005961796	0.01831123	0.00182504	0.000547512	0.006691812	6.08E-05	0.000182504	0.654945857	0.000608347	0	0.05767125	0.000669181	0.000243339	6.08E-05	0.00182504	0.000486677	0.000547512	0.000730016	0	0.00091252	0.004258426	0.009186032	0	0.000182504	0.016364521	0.000365008	6.08E-05	0.052196131	0.00079085	0.004258426	0.014721986	0	0.003224237	0.000669181	0.000243339	0.0122886	0.004380095	6.08E-05	6.08E-05	0.005961796	0.01831123	6.08E-05	0.000304173	0.006874316	0.00182504	0.058218761	0	0.050492761
ZN0JE53-01	0.01261454	0.474928906	0.188488929	0.321561383	0.000850691	0.000388888	0.01261454	0.014024257	0.474928906	0.252193569	0.122815546	0.015993	0.033638772	0.053374815	0.016479109	0.000850691	0.000388888	0.001531245	0.474928906	0.252120652	0.12279124	0.008652748	0.015993	0.00102083	0.033638772	0.012979122	0.016479109	0.000850691	0.000388888	0.001531245	0.003159711	0.434776268	9.72E-05	0.000170138	0.008652748	0.015993	0.00102083	0.033638772	0.102082979	0.000364582	0.027659626	0.009236079	0.003232628	0.019371461	0.012784678	0.252072041	0.013319398	0.000850691	0.000388888	0.000291666	0.001531245	0.000850691	0.003232628	0	0	0.434776268	2.43E-05	0.015993	0.018277714	0.004909705	0	4.86E-05	0.000364582	0.000461804	0.007364558	0.001944438	9.72E-05	0.001677078	0.003159711	0.000364582	0	0.014558977	0.01132635	0.000413193	0	0.032399193	0.002114576	0.000243055	0.025472134	0.252072041	0	2.43E-05	0	0.004010403	4.86E-05	0.012784678	0.013319398	0.000388888	0.000291666	2.43E-05	0.005468731	0.018253409	0.001531245	0.034440853	2.43E-05	0.002381936
ZMS5W76-01	0.01385825	0.369817297	0.470727982	0.141354149	0	0.004129193	0.01385825	0.001810057	0.367837547	0.138808756	0.424005883	0.000961593	0.035805193	0.0015838	0.008371514	0	0.004129193	0.000735336	0.367837547	0.138808756	0.424005883	0.013631993	0.000961593	0.001527236	0.035805193	0.001810057	0.008371514	0	0.004129193	0.000735336	0.006052379	0.268963177	0.000282821	0.0015838	0.013631993	0.000961593	0.001527236	0.035805193	0.202104191	0.00039595	0.017478364	0.059279371	0.008145257	0.21765937	0.001640364	0.137790599	0.002319136	0	0.004129193	0.00197975	0.000735336	0	0.008145257	5.66E-05	0	0.268963177	0.001527236	0.000113129	0.037049607	0.002206007	0.000678771	0.000113129	0.00039595	5.66E-05	0.004468579	0.000282821	0.000282821	0.010973471	0.01702585	0.009615929	0.000113129	0	0.192262006	0.001696929	0.00039595	0.067877142	0.000622207	0.007296793	0.014537021	0.000113129	0	0	0.000226257	0.004638271	0.002036314	0.001640364	0.000339386	0.004129193	0.00197975	5.66E-05	0.001357543	0.000226257	0.000735336	0.061145992	0.000113129	0.011765371
ZMBH10Z-01	0.004684612	0.489098782	0.333772252	0.032463093	0.087893444	0.051935884	0.004684612	0.001544656	0.489098782	0.028842015	0.315413639	0.000936922	0.001443367	0.000582411	0.010306146	0.087893444	0.051935884	0.005064445	0.489098782	0.028842015	0.315388316	0.004558001	0.000936922	0.000177256	0.001443367	0.001468689	0.010306146	0.087893444	0.051935884	0.005064445	0	0.388164392	0	0.000658378	0.004558001	0.000936922	0.000177256	0.001443367	0.126054038	0.001063533	0.033805171	2.53E-05	0.067103897	0.162391431	0.001342078	0.027499937	0.010306146	0.087893444	0.051935884	0.02514497	0.005064445	0.087893444	0.067103897	0.000151933	0.000177256	0.388164392	0.007115545	0.000405156	0.010559368	0.001797878	0	2.53E-05	0.001063533	0.001012889	0.001468689	0.000810311	0	0.001721911	0.0025069	0.002608189	0	0.000253222	0.063406852	0.001012889	2.53E-05	0.048973184	0.012762402	0.010255501	0.013800613	0.027499937	0	0	0.000177256	0.00967309	0.015978324	0.001342078	0.000253222	0.051935884	0.02514497	0.000481122	0.0027348	0.000151933	0.005064445	0.049454306	0	0.069534831
ZM8YXDM-01	0.001616531	0.509769469	0.424725893	0.024739949	0	0.038937307	0.001616531	0.000210852	0.509699185	0.024247962	0.392184425	0.000491988	0.023545122	0	0.005903852	0	0.038937307	0.002881642	0.509699185	0.024247962	0.392184425	0.001616531	0.000491988	0	0.023545122	0.000210852	0.005903852	0	0.038937307	0.002881642	0.005903852	0.413129041	0.002038234	0.000773123	0.001616531	0.000491988	0	0.023545122	0.25534158	0	0.057913972	0	0.038656171	0.133469216	0.000210852	0.000140568	0	0	0.038937307	0.000562272	0.002881642	0	0.038656171	7.03E-05	0.00035142	0.413129041	0.008715209	0.000491988	0.047582232	0.000773123	0.001124543	0	0	0.011948271	0.001475963	0.002178802	0.002038234	0.000702839	0.003233062	0.005411864	0.000632556	0.000702839	0.050112454	0.000843407	0.000140568	0.136631993	0.006676975	0.004146753	0.038726455	0.000140568	0.005903852	0	0	0.01602474	0.028394715	0.000210852	0	0.038937307	0.000562272	0.000421704	0.000281136	0.010753444	0.002881642	0.042802924	0.00267079	0.049128479
ZM7JY3G-01	0.003706323	0.563409817	0.340152642	0.002072615	0.000146302	0.090390383	0.003706323	0.002194533	0.563409817	0	0.321377191	0.001194801	0.007875936	0.000829046	0.007680866	0.000146302	0.090390383	0.001024115	0.563409817	0	0.321377191	0.003511253	0.001194801	0.000292604	0.007875936	0.002121382	0.007680866	0.000146302	0.090390383	0.001024115	0.00638853	0.480651533	0.000146302	0.00046329	0.003511253	0.001194801	0.000292604	0.007875936	0.12923362	0.002535905	0.030504011	0.02996757	0.021116286	0.149886616	0.002072615	0	0.001292336	0.000146302	0.090390383	0.039111458	0.001024115	0.000146302	0.021116286	0.000170686	4.88E-05	0.480651533	0.006632367	0.001194801	0.010533759	0.003535637	0.004242764	0.003511253	0.002535905	0	0.002048231	9.75E-05	0.000146302	0.00112165	0.013094048	0.005852088	0.001365487	0.004852357	0.046036429	0.000780278	2.44E-05	0.051303309	0.001219185	0.01502036	0.018409695	0	2.44E-05	0.011484724	0.000121919	0.018434079	0.005852088	0.002072615	0.001267953	0.090390383	0.039111458	0.000390139	0.000950964	0.002974812	0.001024115	0.027431665	0	0.074857965
ZLZQMEV-01	0.003967073	0.558101094	0.355582003	0.005157195	0.069456842	0.003878916	0.003967073	0.02253518	0.558101094	0.000517923	0.283050679	0.003603425	0.029764069	0.000991768	0.019637013	0.069456842	0.003878916	0.000595061	0.558101094	0.000462825	0.283006601	0.003625464	0.003603425	0.00030855	0.029764069	0.022248669	0.019637013	0.069456842	0.003878916	0.000595061	0.009509956	0.478803707	0	0.001752124	0.003625464	0.003603425	0.00030855	0.029764069	0.111959624	0.001939458	0.041356739	0.000396707	0.037543941	0.163476479	0.022149493	0	0.010127057	0.069456842	0.003878916	0.003845857	0.000595061	0.069456842	0.037543941	0.000154275	0.000330589	0.478803707	0	0.003515268	0.026832843	0.000517923	0	0.056167146	0.001939458	0.000198354	0.001465613	0.001101965	0	2.2E-05	0.006027747	0.00532249	0.000286511	0.016672727	0.023945695	0.001035847	0.000165295	0.024375461	0	0.036838683	0.040012342	0	0.009509956	0.000396707	0.000231413	0.006666887	0.009774428	0.022061335	0.00971933	0.003878916	0.003845857	0.001355417	0.003008364	0.002997344	0.000595061	0.040133558	0.001300318	0.034789029
ZLZNCLZ-01	0.003120125	0.161808578	0.635629636	0.01187837	8.21E-05	0.187289597	0.003120125	0.000656868	0.161808578	0.007718203	0.58844459	0.002107453	0.008101377	0.000766346	0.026657908	8.21E-05	0.187289597	0.011768892	0.161808578	0.007718203	0.588335112	0.001258998	0.002107453	0.00057476	0.008101377	0.000656868	0.026657908	8.21E-05	0.187289597	0.011768892	0.009415113	0.116101486	0.000903194	0.001532693	0.001258998	0.002107453	0.00057476	0.008101377	0.270246599	0.07064072	0.02487889	8.21E-05	0.020746093	0.234200947	0.00057476	0	0.017242795	8.21E-05	0.187289597	0.010810959	0.011768892	8.21E-05	0.020746093	0.000957933	0.001368476	0.116101486	0.009305635	0.001532693	0.028026384	0.003776993	0.000109478	0.061362454	0.07064072	0.003558037	0.00057476	0.001231628	0.000903194	2.74E-05	0.005035991	0.004297014	5.47E-05	0.000246326	0.117141528	0.001012672	0.000218956	0.146290062	0.000492651	0.003530668	0.014971125	0	0.009415113	5.47E-05	2.74E-05	0.004269644	0.005035991	0.00057476	0.000328434	0.187289597	0.010810959	0.000164217	0.00112215	0.00169691	0.011768892	0.080521116	0	0.041355338
